#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 1.50000000000000000000 116.00000000000000000000 0.66850142090342667966 0.01078987415386312328 0.99999999999907163151 -2.82362663638920574627 0.36529908627278662170 0.69172541607909132644 -2.83936816812137848842 0.36559904793798797540
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 1.60000000000000008882 116.00000000000000000000 0.67068869668930464201 0.01178863287579978540 0.99999999999907274173 -2.78488786298080670534 0.37507769818046199362 0.69172637156839056338 -2.83937188788457683941 0.36555922878156849043
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 1.69999999999999995559 116.00000000000000000000 0.69505228449262623780 0.01291388915587877648 0.99999999999907018822 -2.79137554660530051720 0.37584299447805258332 0.69172698395742848732 -2.83937482152500475507 0.36551387557991771304
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 1.80000000000000004441 116.00000000000000000000 0.71956877558993648236 0.01417929790029303326 0.99999999999907007719 -2.84072369127113422138 0.36743362072567081755 0.69172775982250644944 -2.83937693160519355473 0.36546251802075402360
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 1.89999999999999991118 116.00000000000000000000 0.72077321290996398950 0.01557921833250109321 0.99999999999907274173 -2.89104123968324033811 0.35844585241770848816 0.69172823928463633703 -2.83937864903948256057 0.36540453964177982416
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.00000000000000000000 116.00000000000000000000 0.69671625806933212832 0.01712321505682430633 0.99999999999907529524 -2.90093068263206887991 0.35615382048843730045 0.69172923179175349606 -2.83938044610722650773 0.36533958066705973788
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.10000000000000008882 116.00000000000000000000 0.66536530087475276307 0.01878837641742367448 0.99999999999907396298 -2.86223300422125515041 0.36148595175378778199 0.69173033520576254762 -2.83938267818863598890 0.36526759141818265775
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.20000000000000017764 116.00000000000000000000 0.65093248347112153684 0.02053276204946174327 0.99999999999907207560 -2.80243410642224599627 0.36996658278162397604 0.69173115176439381457 -2.83938508611755668909 0.36518935357360871041
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.29999999999999982236 116.00000000000000000000 0.66926495689324205784 0.02228249514479143864 0.99999999999907485115 -2.76672214878942890337 0.37431212832677240865 0.69173114044542705070 -2.83938641163128835387 0.36510690387408267776
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.39999999999999991118 116.00000000000000000000 0.71016993408578321656 0.02393513569375318659 0.99999999999907118742 -2.78573907888618910178 0.36942689225304153888 0.69173094888971009553 -2.83938805003498329071 0.36502341820844247389
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.50000000000000000000 116.00000000000000000000 0.74113677512880549170 0.02533057746916309722 0.99999999999907074333 -2.84732617525060716090 0.36024021362631108989 0.69173079952559413108 -2.83938841196686420076 0.36494397590584654045
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.60000000000000008882 116.00000000000000000000 0.73638352309839372190 0.02625985614112928690 0.99999999999907362991 -2.90572184598484861695 0.35760271486625255788 0.69173047684999200424 -2.83938927304426824705 0.36487528695952708979
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.70000000000000017764 116.00000000000000000000 0.69658649286426621572 0.02647766330476100313 0.99999999999907485115 -2.91794497705477340332 0.36197662644706202206 0.69172935732348872495 -2.83938906508062194334 0.36482615361459397318
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.79999999999999982236 116.00000000000000000000 0.65052491453979011116 0.02577019245111066698 0.99999999999907551729 -2.87523360612510714418 0.36610153595565209095 0.69172956484458181237 -2.83938635838863717709 0.36480636655796883083
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 2.89999999999999991118 116.00000000000000000000 0.63107349707128623795 0.02395520056506235396 0.99999999999907707160 -2.80863263283248798530 0.36910342001039708748 0.69173052207369589706 -2.83938607784652763399 0.36482526567969481013
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.00000000000000000000 116.00000000000000000000 0.65319921015406412490 0.02105715237405203846 0.99999999999907041026 -2.76394634673544414838 0.37110222238040446729 0.69173390692453418094 -2.83939000398597629626 0.36488481283399792909
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.10000000000000008882 116.00000000000000000000 0.70359408286799030030 0.01723940664657681518 0.99999999999906907799 -2.77156030038350342792 0.36651969490873215207 0.69173451708436650698 -2.83939614906394455218 0.36498064707615246460
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.20000000000000017764 116.00000000000000000000 0.74280204686418893623 0.01280893717013371381 0.99999999999907174253 -2.82249686080673534150 0.35783873382704473043 0.69173043947467194315 -2.83940044396076141098 0.36510675634610295637
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.29999999999999982236 116.00000000000000000000 0.74568993880820866327 0.00816339877066918525 0.99999999999907651649 -2.87745223181848386318 0.35778123082223128870 0.69172679380872681421 -2.83939951536920176522 0.36525165904238837689
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.39999999999999991118 116.00000000000000000000 0.71423151226850167816 0.00368667842797259235 0.99999999999907451809 -2.90111588956733124078 0.36699372493495902026 0.69172517219514495501 -2.83939623005837127323 0.36540024128053250063
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.50000000000000000000 116.00000000000000000000 0.67087192486428681715 -0.00026831459808146903 0.99999999999907451809 -2.88219125492506789143 0.37257341001413774029 0.69172652595562722500 -2.83939410732822761219 0.36554023680861191803
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.60000000000000008882 116.00000000000000000000 0.64809095369569036382 -0.00341530684651337275 0.99999999999907496218 -2.83979675916892748688 0.36968796920026442132 0.69172872826253073431 -2.83939516390182777883 0.36566248913782545271
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.70000000000000017764 116.00000000000000000000 0.65827407682081129359 -0.00558158622694992883 0.99999999999907340786 -2.80672175402288415214 0.36490593041577085165 0.69172965628261273707 -2.83939734118698927645 0.36575993643682908063
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.79999999999999982236 116.00000000000000000000 0.68851452969726001374 -0.00680570159515576402 0.99999999999907107640 -2.80286611160885623661 0.36187148072052682801 0.69173011239731374555 -2.83940014088791237157 0.36583052500735541157
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 3.89999999999999991118 116.00000000000000000000 0.71402937701724711328 -0.00723676172581099678 0.99999999999907462911 -2.82418404010944268379 0.36125178440059790841 0.69173004232059409624 -2.83940209651795072432 0.36587722652783566391
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 0.71766391050839439814 -0.00708379130500256041 0.99999999999907340786 -2.84980863194590794407 0.36490561797467946370 0.69172997840996863772 -2.83940319372848204438 0.36590532733502567631
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.09999999999999964473 116.00000000000000000000 0.70187067775501399414 -0.00657142382176801633 0.99999999999907196457 -2.86071060804586840831 0.37030537993106998895 0.69173093571376098598 -2.83940414324517131917 0.36591987275189241657
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.20000000000000017764 116.00000000000000000000 0.68265154089949242611 -0.00586015508173964687 0.99999999999907107640 -2.85295476891088251037 0.37111638364117077726 0.69173178784719735468 -2.83940490522758892666 0.36592517429559096032
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.29999999999999982236 116.00000000000000000000 0.67542525993219837410 -0.00507581487710853652 0.99999999999906918902 -2.83727068897466905284 0.36651179303684777722 0.69173183552858774625 -2.83940588323591303066 0.36592485894105775124
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.40000000000000035527 116.00000000000000000000 0.68313753404015420401 -0.00431414318010624794 0.99999999999906763470 -2.82778431383523498610 0.36179892508328759249 0.69173226639137108673 -2.83940668504141680017 0.36592151705806574835
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.50000000000000000000 116.00000000000000000000 0.69630227700079905251 -0.00356951194619349816 0.99999999999907118742 -2.83047933057365419529 0.36106271657409416687 0.69173212955818519365 -2.83940657970879062333 0.36591696297067693999
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.59999999999999964473 116.00000000000000000000 0.70231430568705799367 -0.00290743349543021775 0.99999999999906952208 -2.84012598873970212310 0.36465310233764364201 0.69173227277568050120 -2.83940634554081849927 0.36591258142639804252
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.70000000000000017764 116.00000000000000000000 0.69716335498396420078 -0.00229792797914436754 0.99999999999906907799 -2.84665544627307198766 0.36974892933603503709 0.69173225789390224705 -2.83940557555551098545 0.36590856085810635756
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.79999999999999982236 116.00000000000000000000 0.68800981816599715568 -0.00179212172979726519 0.99999999999907462911 -2.84494930499706244476 0.37146039949720310869 0.69173261332086388720 -2.83940476950066145179 0.36590511487661936396
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 4.90000000000000035527 116.00000000000000000000 0.68420348844936218491 -0.00137662649053910970 0.99999999999907118742 -2.83841521820646081053 0.36764202049342387113 0.69173263115160099623 -2.83940379416283228409 0.36590242521996185765
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.00000000000000000000 116.00000000000000000000 0.68808688493802505626 -0.00103349304525563162 0.99999999999907196457 -2.83398117597429877179 0.36193487972355670168 0.69173242989754246679 -2.83940236841544901836 0.36590046821452604231
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 0.69500679931106956744 -0.00074366866814135264 0.99999999999907174253 -2.83528638875048777379 0.35985410927156530336 0.69173199889977932120 -2.83940033171032224502 0.36589935126147793421
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.20000000000000017764 116.00000000000000000000 0.69839619436675093311 -0.00048088803532638885 0.99999999999907118742 -2.84041278708596856006 0.36333369415569433114 0.69173180081305640776 -2.83939755838251395303 0.36589872312399723819
