#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.65000000000000002220 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.02013083766616794931 0.05031179314786725365 1.00000000004644395979 -0.38246250316019797522 0.94032777407184697793 0.07665407743040153488 -0.31449406734764362437 0.94001457893781015240
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.69999999999999995559 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.02625535441168541650 0.05024848585084089325 1.00000000003899702783 -0.40673468766761433635 0.93934350630585394804 0.08254588001601148584 -0.33867905496235140017 0.93902630195937375479
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.75000000000000000000 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.03239686641670220385 0.05017995634436026725 1.00000000002830491397 -0.43101052960315316964 0.93828637347387400247 0.08843716163897966109 -0.36286192148492690812 0.93796454543997531683
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.80000000000000004441 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.03855539809331222367 0.05010612059723127537 1.00000000002291655754 -0.45528971701059534061 0.93715630476412936645 0.09432788410376853616 -0.38704251076840684442 0.93682925057692845172
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.84999999999999997780 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.04473097659188645520 0.05002688896135060875 1.00000000000280375723 -0.47957192522059438611 0.93595322387309254353 0.10021800888153846454 -0.41122066565748194300 0.93562035432692447490
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.90000000000000002220 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.05092363148923716165 0.04994216619625425208 0.99999999998360444842 -0.50385681625058043043 0.93467704882490165730 0.10610749711286004970 -0.43539622784417181256 0.93433778936135536419
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.94999999999999995559 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.05713339446182866960 0.04985185149961905010 0.99999999998119926126 -0.52814403859010250475 0.93332769187531672284 0.11199630961499951187 -0.45956903781537772335 0.93298148404141068024
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.00000000000000000000 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.06336029890335120873 0.04975583854430919162 0.99999999998125554956 -0.55243322694615493162 0.93190505940876955382 0.11788440689068600820 -0.48373893467399109447 0.93155136236106339531
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.05000000000000004441 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.06960437952512375792 0.04965401552513202393 0.99999999998384614397 -0.57672400167307269481 0.93040905176160870749 0.12377174913232091846 -0.50790575603120502457 0.93004734390193766203
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.10000000000000008882 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.07586567193062879189 0.04954626521425987973 0.99999999999064581591 -0.60101596844108773343 0.92883956309415083297 0.12965829621917254744 -0.53206933788134047614 0.92846934377855927512
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.14999999999999991118 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.08214421217025616451 0.04943246502631789413 0.99999999999929334304 -0.62530871788434905234 0.92719648125494891211 0.13554400770328745018 -0.55622951450009283647 0.92681727258296975336
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.19999999999999995559 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.08844003627506052956 0.04931248709238840455 1.00000000000127498012 -0.64960182524922205349 0.92547968764208476955 0.14142884278248374352 -0.58038611834843079063 0.92509103632472144962
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.25000000000000000000 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.09475317977147891535 0.04918619834277284525 1.00000000000172462045 -0.67389484996843207476 0.92368905704416925939 0.14731276025929790352 -0.60453898001343586710 0.92329053637457447756
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.30000000000000004441 0.10000000000000000555 4.00000000000000000000 216.00000000000000000000 0.10108367717399700803 0.04905346059775755191 1.00000000000159205982 -0.69818733540346689104 0.92182445751777730703 0.15319571848807664316 -0.62868792813263341124 0.92141566940046315537
