#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
7.70000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.55898464387897406347 0.00000000000000000000 0.99999999987956744718 -2.29447748258625194850 0.07562894282406312785
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
7.79999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.55516485228957124232 0.00000000000000000000 0.99999999987888354980 -2.27879905232860746622 0.07031188703334004253
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
7.90000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.55114351844502262878 0.00000000000000000000 0.99999999987817256297 -2.26229332729454668538 0.06511445261605694479
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.54692922209783934040 0.00000000000000000000 0.99999999987742838048 -2.24499552412594294282 0.06003863125077291141
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.54253064005076279130 0.00000000000000000000 0.99999999987666121637 -2.22694125791563291017 0.05508620502586496909
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.19999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.53795652908771685041 0.00000000000000000000 0.99999999987586452033 -2.20816647214339401017 0.05025874689437549031
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.30000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.53321570887953750884 0.00000000000000000000 0.99999999987503351839 -2.18870736850767011461 0.04555762160135554129
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.40000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.52831704491637421217 0.00000000000000000000 0.99999999987417664826 -2.16860033686682296405 0.04098398707703963112
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.52326943151876348370 0.00000000000000000000 0.99999999987328280771 -2.14788188550287495460 0.03653879628743703784
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.59999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.51808177497859608795 0.00000000000000000000 0.99999999987235344001 -2.12658857191820560573 0.03222279953249319179
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.69999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.51276297688049687906 0.00000000000000000000 0.99999999987138188384 -2.10475693437254607332 0.02803654718019812572
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.80000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.50732191765323542132 0.00000000000000000000 0.99999999987037557769 -2.08242342436393546024 0.02398039282378796808
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
8.90000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.50176744039939413788 0.00000000000000000000 0.99999999986932519569 -2.05962434025142693272 0.02005449684745675906
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.49610833505014007017 0.00000000000000000000 0.99999999986822840636 -2.03639576221250484522 0.01625883038493563734
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.49035332289046529297 0.00000000000000000000 0.99999999986708976163 -2.01277348872027372906 0.01259317965381182187
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.19999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.48451104149803969623 0.00000000000000000000 0.99999999986589982459 -1.98879297471893723426 0.00905715064734287367
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.30000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.47859003013718526276 0.00000000000000000000 0.99999999986465193391 -1.96448927166710718417 0.00565017416449247953
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.40000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.47259871564703098690 0.00000000000000000000 0.99999999986335552649 -1.93989696960925384062 0.00237151115778611726
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.46654539886069529286 0.00000000000000000000 0.99999999986200682756 -1.91505014142695495494 -0.00077974162219744041
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.59999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.46043824158959878456 0.00000000000000000000 0.99999999986059084911 -1.88998228940971779721 -0.00380464570773302252
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.69999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.45428525420485316166 0.00000000000000000000 0.99999999985911425249 -1.86472629427639646771 -0.00670441474295527425
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.80000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.44809428384429356162 0.00000000000000000000 0.99999999985757437315 -1.83931436676477821912 -0.00948040808425119029
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
9.90000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.44187300327139789058 0.00000000000000000000 0.99999999985595111607 -1.81377800189725602031 -0.01213412419577665144
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.43562890040921514734 0.00000000000000000000 0.99999999985425469529 -1.78814793601682620050 -0.01466719386416490654
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.42936926856939433561 0.00000000000000000000 0.99999999985247478573 -1.76245410667637947277 -0.01708137325682290014
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.19999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.42310119739350227075 0.00000000000000000000 0.99999999985062260066 -1.73672561545189352294 -0.01937853684817985797
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.30000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.41683156452069575204 0.00000000000000000000 0.99999999984866605462 -1.71099069373694856466 -0.02156067023843438735
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.40000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.41056702799268335324 0.00000000000000000000 0.99999999984662490959 -1.68527667156366178780 -0.02362986288916916686
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.40431401940398858930 0.00000000000000000000 0.99999999984446896750 -1.65960994948317130948 -0.02558830079996330525
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.59999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.39807873780236768813 0.00000000000000000000 0.99999999984220855342 -1.63401597352523886286 -0.02743825914995264362
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.69999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.39186714434128566698 0.00000000000000000000 0.99999999983982479357 -1.60851921324507385336 -0.02918209492774260366
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.80000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.38568495768340277374 0.00000000000000000000 0.99999999983732745790 -1.58314314285263835202 -0.03082223957271077938
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
10.90000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.37953765015104212743 0.00000000000000000000 0.99999999983468834674 -1.55791022540858503653 -0.03236119165003049220
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.37343044461705793280 0.00000000000000000000 0.99999999983190634989 -1.53284190005895015751 -0.03380150958115535342
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.36736831212646420264 0.00000000000000000000 0.99999999982896436990 -1.50795857227000507095 -0.03514580445071340681
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.19999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.36135597023684656870 0.00000000000000000000 0.99999999982586917913 -1.48327960701351568851 -0.03639673290990861482
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.30000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.35539788206294348205 0.00000000000000000000 0.99999999982258747089 -1.45882332484262855488 -0.03755699019570223063
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.40000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.34949825600867406861 0.00000000000000000000 0.99999999981912268687 -1.43460700078948444336 -0.03862930328394713342
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.34366104616718456954 0.00000000000000000000 0.99999999981544906991 -1.41064686600522137816 -0.03961642419378541558
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.59999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.33788995336807203795 0.00000000000000000000 0.99999999981155818229 -1.38695811205635188834 -0.04052112345942981975
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.69999999999999928946 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.33218842684841670687 0.00000000000000000000 0.99999999980742793060 -1.36355489778189897798 -0.04134618378440014369
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.80000000000000071054 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.32655966652287349294 0.00000000000000000000 0.99999999980304354885 -1.34045035860992634014 -0.04209439389213277122
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
11.90000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.32100662582627403907 0.00000000000000000000 0.99999999979837905784 -1.31765661822408031156 -0.04276854258567328732
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
12.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.31553201510104261773 0.00000000000000000000 0.99999999979340037370 -1.29518480246644029918 -0.04337141302801093834
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
12.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.31013830550005822007 0.00000000000000000000 0.99999999978810227841 -1.27304505535644940650 -0.04390577725336927695
