#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
1.80000000000000004441 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.26206201875266466050 0.00000000000000000000 0.99999999989618926222 -1.07567143157877209703 0.44046485292737619366
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
1.89999999999999991118 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.27542890967829930515 0.00000000000000000000 0.99999999989611842999 -1.13053798006159111900 0.43663394463266724799
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.28860650035947738035 0.00000000000000000000 0.99999999989604138051 -1.18462754940420622596 0.43262087785774522297
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.10000000000000008882 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.30158590173473071028 0.00000000000000000000 0.99999999989596000116 -1.23790365394316337344 0.42842949308210648285
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.20000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.31435839564770373666 0.00000000000000000000 0.99999999989586740856 -1.29033050940172167032 0.42406380286081624131
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.29999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.32691544452687421041 0.00000000000000000000 0.99999999989577770254 -1.34187307261935906411 0.41952798784109823771
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.39999999999999991118 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.33924870114105998287 0.00000000000000000000 0.99999999989568333358 -1.39249708159256413431 0.41482639253428610360
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.35135001841463187056 0.00000000000000000000 0.99999999989559174018 -1.44216909576140150939 0.40996352083957648960
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.60000000000000008882 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.36321145928508319356 0.00000000000000000000 0.99999999989548793433 -1.49085653647021199042 0.40494403131666950602
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.70000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.37482530658276946856 0.00000000000000000000 0.99999999989538035372 -1.53852772751994981704 0.39977273220462888892
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.79999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.38618407291150613769 0.00000000000000000000 0.99999999989526666688 -1.58515193572438395364 0.39445457618563445346
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
2.89999999999999991118 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.39728051050630036611 0.00000000000000000000 0.99999999989514476439 -1.63069941137293406008 0.38899465489221379810
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.40810762104296838260 0.00000000000000000000 0.99999999989502996733 -1.67514142849657310386 0.38339819315846168646
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.10000000000000008882 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.41865866537277945936 0.00000000000000000000 0.99999999989490295782 -1.71845032482638671034 0.37767054301551172824
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.20000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.42892717315360590069 0.00000000000000000000 0.99999999989476140438 -1.76059954132787277459 0.37181717743339626203
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.29999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.43890695234784415923 0.00000000000000000000 0.99999999989462373673 -1.80156366118869026849 0.36584368381200255138
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.39999999999999991118 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.44859209855578119353 0.00000000000000000000 0.99999999989448562498 -1.84131844813170486574 0.35975575722483293939
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.45797700415242603711 0.00000000000000000000 0.99999999989433285830 -1.87984088392136228229 0.35355919342059644039
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.60000000000000008882 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.46705636719450493999 0.00000000000000000000 0.99999999989417465152 -1.91710920492743874810 0.34725988158865406241
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.70000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.47582520006362960530 0.00000000000000000000 0.99999999989401244793 -1.95310293760619035908 0.34086379689549511918
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.79999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.48427883781134201113 0.00000000000000000000 0.99999999989384391608 -1.98780293275809150089 0.33437699280056498718
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
3.89999999999999991118 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.49241294617086150964 0.00000000000000000000 0.99999999989366117337 -2.02119139841806694236 0.32780559316097518385
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.50022352920059587333 0.00000000000000000000 0.99999999989348442586 -2.05325193123441529508 0.32115578413579576322
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.50770693652419673914 0.00000000000000000000 0.99999999989329790839 -2.08396954619219565430 0.31443380590192004931
