#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.00000000000000000000 0.10000000000000000555 4.00000000000000000000 11.59999999999999964473 -0.05098845672261013984 0.05007097451187624698 0.99999999999107669346 -0.07343542634254690560 0.90711682250393044225 0.00002631986069090035 0.00003752703893007455 0.90652147126688154000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.05000000000000000278 0.10000000000000000555 4.00000000000000000000 11.59999999999999964473 -0.04484225763626445427 0.05006947414174600652 0.99999999998916111466 -0.09862606705198712076 0.90707526880408473335 0.00616305531728735152 -0.02515223973860945123 0.90648419354269060833
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000000000000555 0.10000000000000000555 4.00000000000000000000 11.59999999999999964473 -0.03867753916314568829 0.05006116577530049516 0.99999999998865385376 -0.12381928452272390750 0.90695935523558046665 0.01229973435447006061 -0.05034181914162400712 0.90637227357760163926
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.14999999999999999445 0.10000000000000000555 4.00000000000000000000 11.59999999999999964473 -0.03249434920749427053 0.05004604259081440326 0.99999999998875099827 -0.14901487268237037509 0.90676907361030623100 0.01843631186105135905 -0.07553102553490974314 0.90618570396193587335
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.20000000000000001110 0.10000000000000000555 4.00000000000000000000 11.59999999999999964473 -0.02629273725717505214 0.05002409312830079918 0.99999999998912791899 -0.17421261151935465983 0.90650440960324563111 0.02457274267238425750 -0.10071967308016771536 0.90592447233563433429
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.25000000000000000000 0.10000000000000000555 4.00000000000000000000 11.59999999999999964473 -0.02007275446536925176 0.04999530131001272276 0.99999999999224176150 -0.19941226695239208655 0.90616534274434024088 0.03070898154121067328 -0.12590757559667406507 0.90558856137265997255
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
