#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.30000000000000004441 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.20587204074763901240 0.01764232058872340636 0.99999999999908129045 -0.69042955619111012755 0.88193422027242018846 0.15941952268648307278 -0.65437846183278214340 0.88200825833582907620
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.39999999999999991118 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.21816855184453043393 0.01770583464196265680 0.99999999999908351089 -0.74048002019651215644 0.87786048483741352388 0.17165878692828590024 -0.70461734557217670094 0.87793587755481916624
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.50000000000000000000 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.23046270520215994537 0.01777452620456201199 0.99999999999908251169 -0.79048949646932165081 0.87347887903745191629 0.18389254891721751317 -0.75483363025764094179 0.87355593953110666217
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.60000000000000008882 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.24275384467038496616 0.01784848586786275115 0.99999999999908062431 -0.84045505478231397056 0.86878805178225548822 0.19612033688296856559 -0.80502538607583595809 0.86886711241517888826
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.69999999999999995559 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.25504125832831209264 0.01792780570282387007 0.99999999999908106840 -0.89037357831514374329 0.86378653424222717749 0.20834166043058108264 -0.85519060776005495494 0.86386794746038275683
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.80000000000000004441 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.26732416923626156624 0.01801257746281675898 0.99999999999907585035 -0.94024174479005506733 0.85847273406621460445 0.22055600829051430489 -0.90532720525452858862 0.85855687312886153073
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.89999999999999991118 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.27960172462575011432 0.01810289029640569855 0.99999999999908073534 -0.99005600544225624837 0.85284492895416719183 0.23276284573724062565 -0.95543299298494099858 0.85293218849413354743
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.00000000000000000000 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.29187298325676180877 0.01819882785758334884 0.99999999999907118742 -1.03981256153937784426 0.84690125952661987618 0.24496161158883641984 -1.00550567737574692018 0.84699205586521886246
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.10000000000000008882 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.30413690062986953322 0.01830046468152476957 0.99999999999908251169 -1.08950733811410738205 0.84063972142852638747 0.25715171467450081977 -1.05554284215064164698 0.84073449254943011244
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.20000000000000017764 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.31639231169490916740 0.01840786167302039741 0.99999999999909183757 -1.13913595450965288158 0.83405815660170234960 0.26933252962400261454 -1.10554193081866114490 0.83415736166465692669
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.29999999999999982236 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.32863791064859432245 0.01852106053313098966 0.99999999999909983117 -1.18869369125679136268 0.82715424365919532068 0.28150339179119049371 -1.15550022557848897087 0.82725836190756030231
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.39999999999999991118 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.34087222736072469997 0.01864007692814955916 0.99999999999909761073 -1.23817545269538764607 0.81992548729567316101 0.29366359107112882665 -1.20541482165867952503 0.82003501618224416969
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
