#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.20000000000000017764 0.10000000000000000555 0.40000000000000002220 116.00000000000000000000 0.79551558568264546523 0.00179836591458921394 0.99999999999908972814 -3.26047282408375016516 0.06190898662177698325 0.79743593049796124284 -3.27329793736162910633 0.03252519515791287702
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.20000000000000017764 0.10000000000000000555 0.50000000000000000000 116.00000000000000000000 0.79961312754209123987 0.00201228411113890887 0.99999999999909094939 -3.27457950452506940664 0.03784961639561984503 0.79748753981157205484 -3.27350990156771359807 0.03248975643718732265
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.20000000000000017764 0.10000000000000000555 0.59999999999999997780 116.00000000000000000000 0.80082177831144574220 0.00227444374445860686 0.99999999999908995019 -3.28404209801556890014 0.01090817617216673259 0.79754191570834298552 -3.27373316696590244135 0.03244840386866169879
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.20000000000000017764 0.10000000000000000555 0.69999999999999995559 116.00000000000000000000 0.80149606515119464767 0.00258780254076930363 0.99999999999909039428 -3.28831764799751002926 0.00292406530207665145 0.79759655534557183376 -3.27395767004203497308 0.03240154997716956919
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.20000000000000017764 0.10000000000000000555 0.80000000000000004441 116.00000000000000000000 0.79902207790782253660 0.00295356089382477031 0.99999999999908806281 -3.28804575503794138669 0.01880511697883739328 0.79764954439169122313 -3.27417514771641560145 0.03234949490521278614
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
