#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.00000000000000000000 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.05763702112191066568 0.05068171669184304978 0.99999999982163001455 -0.06770370188807166290 0.94463238606683574972 0.00002995912286850604 0.00003433451293107281 0.94429422781286953548
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.05000000000000000278 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.05172167561581778039 0.05068118737097455223 0.99999999976570363991 -0.09195103981007819727 0.94459124991572895880 0.00593633043937352462 -0.02421013173626800075 0.94425768036998147803
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000000000000555 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.04578918612785883718 0.05067589871569739418 0.99999999974017694804 -0.11620486550534858683 0.94447762555099901149 0.01184265623039840003 -0.04845444162215341993 0.94414797548668361049
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.14999999999999999445 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.03983958247710939204 0.05066584154257725015 0.99999999974684672388 -0.14046501259827393060 0.94429150658343952163 0.01774890019940992408 -0.07269844494871872953 0.94396510720860138388
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.20000000000000001110 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.03387288987960431624 0.05065100084253074120 0.99999999979125131500 -0.16473130405651961738 0.94403288181712308180 0.02365502600854096568 -0.09694199141809652087 0.94370906557632128209
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.25000000000000000000 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.02788912901111202311 0.05063135579258018493 0.99999999987062215823 -0.18900355214068229048 0.94370173524298117673 0.02956099725215842813 -0.12118493049081564827 0.94337983660312918488
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.29999999999999998890 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.02188831610456107996 0.05060687977968137546 0.99999999993766897077 -0.21328155844009574760 0.94329804604765976617 0.03546677742252145327 -0.14542711151483339593 0.94297740231875359918
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.34999999999999997780 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.01587046303880595977 0.05057754039836629550 0.99999999996445199102 -0.23756511344160136101 0.94282178851494313765 0.04137232991401228882 -0.16966838345916432362 0.94250174071116976648
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.40000000000000002220 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.00983557745303319589 0.05054329945510500910 0.99999999997116351125 -0.26185399627675354228 0.94227293195724759478 0.04727761800247062829 -0.19390859465812218532 0.94195282566721505457
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.45000000000000001110 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 -0.00378366286813930234 0.05050411298435146523 0.99999999997530042428 -0.28614797477269865444 0.94165144071248718660 0.05318260481949978191 -0.21814759285677584599 0.94133062698446945404
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.50000000000000000000 0.10000000000000000555 4.00000000000000000000 116.00000000000000000000 0.00228528116788898885 0.05045993126582021954 0.99999999998259636591 -0.31044680530859963818 0.94095727409483587156 0.05908725333117757772 -0.24238522521488720107 0.94063511037100899781
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
