-0.0237389,3.98502
0.21365,3.98502
0.451039,3.98502
0.688427,3.98502
0.925816,3.98502
1.1632,3.95506
1.40059,3.95506
1.63798,3.95506
1.87537,3.92509
2.11276,3.92509
2.32641,3.89513
2.5638,3.86517
2.80119,3.86517
3.03858,3.83521
3.27596,3.80524
3.48961,3.77528
3.727,3.74532
3.96439,3.71536
4.20178,3.68539
4.41543,3.65543
4.65282,3.62547
4.84273,3.56554
5.0089,3.53558
5.24629,3.47566
5.45994,3.41573
5.69733,3.38577
5.91098,3.29588
6.14837,3.23596
6.36202,3.14607
6.59941,3.08614
6.81306,2.96629
7.02671,2.84644
7.24036,2.72659
7.45401,2.57678
7.64392,2.36704
7.78635,2.1573
7.90504,1.9176
7.92878,1.61798
7.95252,1.49813
8,1.79775
8.07122,2.30712
8.09496,2.90637
8.09496,2.90637
8.11869,3.50562
8.11869,3.50562
8.16617,4.10487
8.23739,4.37453
8.30861,4.67416
8.37982,4.94382
8.49852,5.21348
8.59347,5.48315
8.73591,5.75281
8.8546,5.99251
8.97329,6.23221
9.11573,6.47191
9.2819,6.71161
9.42433,6.95131
9.56677,7.19101
9.73294,7.43071
9.87537,7.64045
10.0415,7.88015
10.184,8.08989
10.3501,8.29963
10.5163,8.53933
10.6825,8.74906
10.8487,8.9588
11.0148,9.16854
11.181,9.37828
11.3472,9.58801
11.5371,9.79775
11.7033,10.0075
11.8694,10.2172
