#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000149011611938 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 -0.00800975225865840912 0.01223284751176834106 1.00002706050872802734 -0.01900810562074184418 0.94521182775497436523 0.02007590048015117645 -0.06180555745959281921 0.94510298967361450195
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.75833332538604736328 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.12409021705389022827 0.01222998742014169693 1.00002682209014892578 -0.42580929398536682129 0.93131369352340698242 0.15214695036411285400 -0.46840846538543701172 0.93054002523422241211
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.41666662693023681641 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.25576820969581604004 0.01223259326070547104 1.00002562999725341797 -0.83141154050827026367 0.89484977722167968750 0.28370314836502075195 -0.87342923879623413086 0.89337718486785888672
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.07500004768371582031 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.38652256131172180176 0.01223746221512556076 1.00002646446228027344 -1.23429191112518310547 0.83514797687530517578 0.41421660780906677246 -1.27523791790008544922 0.83297073841094970703
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.73333334922790527344 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.51569360494613647461 0.01223341841250658035 1.00002467632293701172 -1.63246583938598632812 0.75096029043197631836 0.54296845197677612305 -1.67162764072418212891 0.74799561500549316406
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
3.39166665077209472656 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.64230400323867797852 0.01219332776963710785 1.00002384185791015625 -2.02300190925598144531 0.64012289047241210938 0.66884350776672363281 -2.05914831161499023438 0.63628745079040527344
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.05000019073486328125 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.76471328735351562500 0.01203356683254241943 1.00002491474151611328 -2.40094804763793945312 0.49874174594879150391 0.78981959819793701172 -2.43157887458801269531 0.49386453628540039062
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.70833349227905273438 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.87988656759262084961 0.01135468855500221252 1.00002396106719970703 -2.75659179687500000000 0.31871032714843750000 0.90131670236587524414 -2.77484512329101562500 0.31248801946640014648
