# display=4 E_dc=4.50000000000000000000 E_omega=0.10000000149011611938 omega=0.50000000000000000000 mu=116.00000000000000000000 alpha=0.94959998130798339844 n-harmonics=120 PhiYmin=-4.50000000000000000000 PhiYmax=1.20000004768371582031 B=3.00000000000000000000 t-max=10.00000000000000000000 dt=0.00009999999747378752 g-grid=3069
4.50000000000000000000 0.10000000149011611938 0.25000000000000000000 116.00000000000000000000 0.85256743431091308594 0.01040147058665752411 1.00044882297515869141 -2.63485741615295410156 0.39352706074714660645 0.86773008108139038086 -2.67115497589111328125 0.37511888146400451660 -0.00089014257537201047
4.50000000000000000000 0.10000000149011611938 0.27500000596046447754 116.00000000000000000000 0.85071921348571777344 0.01042533852159976959 1.00044727325439453125 -2.62733006477355957031 0.39760762453079223633 0.86713528633117675781 -2.67262721061706542969 0.37515670061111450195 -0.00037458844599314034
4.50000000000000000000 0.10000000149011611938 0.30000001192092895508 116.00000000000000000000 0.85003125667572021484 0.01023064926266670227 1.00044739246368408203 -2.62238764762878417969 0.40047881007194519043 0.86687368154525756836 -2.67200160026550292969 0.37529304623603820801 0.00013041458441875875
4.50000000000000000000 0.10000000149011611938 0.34999999403953552246 116.00000000000000000000 0.85224777460098266602 0.00924002937972545624 1.00044643878936767578 -2.62122988700866699219 0.40216258168220520020 0.86865675449371337891 -2.67075777053833007812 0.37544700503349304199 0.00078335014404729009
4.50000000000000000000 0.10000000149011611938 0.37500000000000000000 116.00000000000000000000 0.85501897335052490234 0.00855373125523328781 1.00045013427734375000 -2.62509918212890625000 0.40091344714164733887 0.86738747358322143555 -2.67180395126342773438 0.37520748376846313477 0.00078201526775956154
4.50000000000000000000 0.10000000149011611938 0.40000000596046447754 116.00000000000000000000 0.85867595672607421875 0.00785584002733230591 1.00045299530029296875 -2.63164067268371582031 0.39834883809089660645 0.86729127168655395508 -2.67322039604187011719 0.37543457746505737305 0.00050142215332016349
4.50000000000000000000 0.10000000149011611938 0.44999998807907104492 116.00000000000000000000 0.86766511201858520508 0.00683981878682971001 1.00045061111450195312 -2.65108561515808105469 0.38988098502159118652 0.86750680208206176758 -2.67245149612426757812 0.37518838047981262207 -0.00079467904288321733
4.50000000000000000000 0.10000000149011611938 0.47499999403953552246 116.00000000000000000000 0.87239551544189453125 0.00667691230773925781 1.00045239925384521484 -2.66285872459411621094 0.38443577289581298828 0.86753261089324951172 -2.67193508148193359375 0.37527596950531005859 -0.00169806974008679390
4.50000000000000000000 0.10000000149011611938 0.48500001430511474609 116.00000000000000000000 0.87423783540725708008 0.00669615156948566437 1.00045299530029296875 -2.66774892807006835938 0.38212171196937561035 0.86775207519531250000 -2.67193174362182617188 0.37541219592094421387 -0.00207642652094364166
4.50000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.87688660621643066406 0.00681199925020337105 1.00045633316040039062 -2.67513251304626464844 0.37856480479240417480 0.86767679452896118164 -2.67244958877563476562 0.37528395652770996094 -0.00263983686454594135
4.50000000000000000000 0.10000000149011611938 0.50000000000000000000 116.00000000000000000000 0.87689036130905151367 0.00681218970566987991 1.00045239925384521484 -2.67512845993041992188 0.37856507301330566406 0.86767637729644775391 -2.67244243621826171875 0.37528571486473083496 -0.00264024385251104832
4.50000000000000000000 0.10000000149011611938 0.55000001192092895508 116.00000000000000000000 0.88409507274627685547 0.00791217293590307236 1.00045323371887207031 -2.69852542877197265625 0.36684167385101318359 0.86756962537765502930 -2.67284584045410156250 0.37525552511215209961 -0.00426464295014739037
4.50000000000000000000 0.10000000149011611938 0.60000002384185791016 116.00000000000000000000 0.88754606246948242188 0.00973347481340169907 1.00045418739318847656 -2.71648240089416503906 0.35728049278259277344 0.86759299039840698242 -2.67237615585327148438 0.37524148821830749512 -0.00499655632302165031
4.50000000000000000000 0.10000000149011611938 0.64999997615814208984 116.00000000000000000000 0.88631534576416015625 0.01153547409921884537 1.00045597553253173828 -2.72538638114929199219 0.35196346044540405273 0.86789458990097045898 -2.67280721664428710938 0.37519699335098266602 -0.00462098885327577591
4.50000000000000000000 0.10000000149011611938 0.69999998807907104492 116.00000000000000000000 0.88033288717269897461 0.01263481285423040390 1.00045382976531982422 -2.72332477569580078125 0.35194134712219238281 0.86797302961349487305 -2.67301988601684570312 0.37509551644325256348 -0.00345834833569824696
4.50000000000000000000 0.10000000149011611938 0.72500002384185791016 116.00000000000000000000 0.87580263614654541016 0.01282284595072269440 1.00045228004455566406 -2.71810245513916015625 0.35388967394828796387 0.86744403839111328125 -2.67240524291992187500 0.37511423230171203613 -0.00278555066324770451
4.50000000000000000000 0.10000000149011611938 0.75000000000000000000 116.00000000000000000000 0.87052077054977416992 0.01275788899511098862 1.00045728683471679688 -2.71029257774353027344 0.35697418451309204102 0.86780530214309692383 -2.67290925979614257812 0.37520927190780639648 -0.00218554469756782055
4.50000000000000000000 0.10000000149011611938 0.80000001192092895508 116.00000000000000000000 0.85894149541854858398 0.01215413678437471390 1.00045478343963623047 -2.68840813636779785156 0.36567395925521850586 0.86774575710296630859 -2.67252755165100097656 0.37521281838417053223 -0.00147021794691681862
4.50000000000000000000 0.10000000149011611938 0.85000002384185791016 116.00000000000000000000 0.84848189353942871094 0.01145419385284185410 1.00045418739318847656 -2.66189026832580566406 0.37595897912979125977 0.86756050586700439453 -2.67270469665527343750 0.37512466311454772949 -0.00158654549159109592
