#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.34815573692321777344 0.00875790044665336609 2.26256394386291503906 16.29882431030273437500 0.43217024207115173340 0.90528136491775512695 -0.15926924347877502441 0.80578875541687011719 3.20103027867001044271 0.12120147794485092163 0.00875790044665336609
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.33703994750976562500 0.00922689959406852722 2.16135311126708984375 14.83908843994140625000 0.27491539716720581055 0.95732414722442626953 -0.18257434666156768799 0.78618133068084716797 3.16516565134141192317 0.13130164146423339844 0.00922689959406852722
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.28872895240783691406 0.00966128427535295486 2.05851578712463378906 13.36751556396484375000 0.12639881670475006104 1.00638973712921142578 -0.20697121322154998779 0.76588678359985351562 3.09255319839346753952 0.14140181243419647217 0.00966128427535295486
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.20797276496887207031 0.01006119791418313980 1.95492422580718994141 11.89724636077880859375 -0.01160638593137264252 1.05248153209686279297 -0.23235763609409332275 0.74501591920852661133 2.98862767692793029894 0.15150198340415954590 0.01006119791418313980
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 3.09970068931579589844 0.01042702142149209976 1.85136866569519042969 10.44018077850341796875 -0.13778120279312133789 1.09562265872955322266 -0.25863373279571533203 0.72367781400680541992 2.85894134601697613718 0.16160215437412261963 0.01042702142149209976
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.96890330314636230469 0.01075934525579214096 1.74854934215545654297 9.00674438476562500000 -0.25124126672744750977 1.13585233688354492188 -0.28570264577865600586 0.70197868347167968750 2.70901834602651936379 0.17170232534408569336 0.01075934525579214096
