#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.50416516817378576043 0.00405089372970328810 0.99999999999988564703 -0.39816235217828888082 0.60258448120202023901 0.90089896537087554851 -0.15753152866044320413 0.80721133376891474054 1.22851009645133868453 0.12059999999999487796
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.57584144572071194190 0.00421346894089588003 0.99999999999987942978 -0.45743364452805418408 0.55494045139530379096 0.95284328891493019764 -0.18062404628366562909 0.78778747231550183550 1.23877632316650099220 0.13064999999999377112
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.63843719991703395955 0.00435125098310802042 0.99999999999986743937 -0.51886598879137224571 0.50652581417322439794 1.00183493295673242685 -0.20480635498405960759 0.76768006156059220846 1.23440811007812323297 0.14069999999999266427
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.69220409173687946769 0.00446462080434454223 0.99999999999986011190 -0.58206995224115598564 0.45775336300052421601 1.04787594024307417762 -0.22997847780804750450 0.74700208868132400575 1.21623468707832960156 0.15074999999999155742
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.73747444239197035287 0.00455417027190069875 0.99999999999985156318 -0.64667203946277151960 0.40900274885304765959 1.09098863583984684311 -0.25604209401160193948 0.72586201143417949933 1.18524028015167437466 0.16079999999999045057
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.77464743459645291068 0.00462067487487358673 0.99999999999984212629 -0.71231755906694715907 0.36061763286516484994 1.13121359073172200738 -0.28290115880998517595 0.70436297262861213841 1.14252794541476210277 0.17084999999998934372
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.80417542983081680141 0.00466506583007871272 0.99999999999983424370 -0.77867289629314484500 0.31290399119843620435 1.16860750415924186107 -0.31046244263768191241 0.68260218257397242692 1.08928448099719266118 0.18089999999998823688
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.82655078883408239498 0.00468840236254173485 0.99999999999982425170 -0.84542721046231883442 0.26612946691148070544 1.20324106120925278240 -0.33863598930854710289 0.66067046268917239971 1.02674744146680541057 0.19094999999998713003
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.84229350538245895130 0.00469184481825578922 0.99999999999981614707 -0.91229359036056745236 0.22052364084282841117 1.23519681505164413693 -0.36733549436735424276 0.63865193978491896498 0.95617503964307060116 0.20099999999998602318
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.85193988523707409044 0.00467662914580687251 0.99999999999981115106 -0.97900971141130477271 0.17627908035986028512 1.26456713542272836115 -0.39647860652266292414 0.61662387780126637349 0.87881948318272218312 0.21104999999998491633
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.85603242736215334752 0.00464404316173785883 0.99999999999980704324 -1.04533804601005542168 0.13355302020341472402 1.29145225695293874857 -0.42598715633658029711 0.59465663196340856622 0.79590407132153107028 0.22109999999998380948
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.85511099642112364805 0.00459540489780632840 0.99999999999980027088 -1.11106568289659435322 0.09246953217399953018 1.31595845310642389769 -0.45578731732461891246 0.57281370932168718113 0.70860418000426572682 0.23114999999998270264
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.84970531633941837057 0.00453204322086179275 0.99999999999979294341 -1.17600381327753100713 0.05312204851758016433 1.33819635414088300429 -0.48580970530596767620 0.55115191935770913023 0.61803209714702211919 0.24119999999998159579
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.84032876555974267418 0.00445528082083465182 0.99999999999978361753 -1.23998694100678896746 0.01557611602778399308 1.35827942082159314197 -0.51598942226761235208 0.52972159864365631066 0.52522553657880344247 0.25124999999998048894
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.82747341583256139863 0.00436641958096850059 0.99999999999977484677 -1.30287187192678288739 -0.02012772735749301933 1.37632257976988370274 -0.54626605119730142768 0.50856689430952684017 0.43113955929395036959 0.26129999999997938209
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.81160622763345346975 0.00426672827756039482 0.99999999999976851850 -1.36453653390765783371 -0.05397104559070411978 1.39244102136077430032 -0.57658360833579946902 0.48772609218112517038 0.33664156200231692972 0.27134999999997827524
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.79316629574762487209 0.00415743250387551853 0.99999999999975919263 -1.42487867460589012758 -0.08595464292297909370 1.40674915701829172932 -0.60689045913435091251 0.46723197678860589610 0.24250895220425566778 0.28139999999997716840
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.77256302706685597848 0.00403970667371454737 0.99999999999975341947 -1.48381447886053607910 -0.11609580757544903096 1.41935972955760303371 -0.63713920391378287000 0.44711221191395489338 0.14942911195285829562 0.29144999999997606155
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.75017512790605755946 0.00391466793304172042 0.99999999999974575893 -1.54127714226612333448 -0.14442570583151309593 1.43038306782660362693 -0.66728653883969046845 0.42738973186461665099 0.05800125458337134637 0.30149999999997495470
